tconst	primaryTitle	startYear	genres	rating	votes
tt0363029	Rick	2003	Comedy,Drama	5.9	930
tt0978762	Mary and Max	2009	Animation,Comedy,Drama	8.1	195385
tt0105812	White Men Can't Jump	1992	Comedy,Sport	6.8	101835
tt0077917	Matilda	1978	Comedy,Crime,Family	3.6	529
tt0119167	Funny Games	1997	Crime,Drama,Thriller	7.5	89804
tt0105695	Unforgiven	1992	Drama,Western	8.2	453120
tt0111181	Sicario	1994	Drama	6.3	519
tt0795421	Mamma Mia!	2008	Comedy,Musical,Romance	6.5	289801
tt0243655	Wet Hot American Summer	2001	Comedy,Romance	6.5	62010
tt14444726	Tár	2022	Drama,Music	7.4	103161
tt0250223	Asterix & Obelix: Mission Cleopatra	2002	Adventure,Comedy,Family	6.7	60154
tt0109686	Dumb and Dumber	1994	Comedy	7.3	427780
tt0093748	Planes, Trains & Automobiles	1987	Comedy,Drama	7.6	169744
tt15239678	Dune: Part Two	2024	Action,Adventure,Drama	8.5	622074
tt0443706	Zodiac	2007	Crime,Drama,Mystery	7.7	632898
tt0072251	The Taking of Pelham One Two Three	1974	Action,Crime,Thriller	7.6	38352
tt0073629	The Rocky Horror Picture Show	1975	Comedy,Horror,Musical	7.4	174497
tt0102536	Night on Earth	1991	Comedy,Drama	7.7	68606
tt0094336	Withnail and I	1987	Comedy,Drama	7.5	49897
tt0286499	Bend It Like Beckham	2002	Comedy,Drama,Romance	6.7	119226
tt0080179	Drunken Master	1978	Action,Comedy	7.4	45747
tt0289043	28 Days Later	2002	Drama,Horror,Sci-Fi	7.5	472413
tt0808417	Persepolis	2007	Animation,Biography,Drama	8.0	102698
tt17009710	Anatomy of a Fall	2023	Crime,Drama,Thriller	7.6	173192
tt0319343	Elf	2003	Adventure,Comedy,Family	7.1	329349
tt0190590	O Brother, Where Art Thou?	2000	Adventure,Comedy,Crime	7.7	340650
tt1189073	The Skin I Live In	2011	Drama,Mystery,Thriller	7.6	173614
tt0096928	Bill & Ted's Excellent Adventure	1989	Adventure,Comedy,Music	6.9	145526
